name,size,duration,duration(s),speed,size_per_sec
Sha1,8,1.215µs,0.000001215,6.28MB/s,6584362.139917696
Keccak224,8,1.761µs,0.000001761,4.33MB/s,4542873.367404884
Keccak256,8,1.639µs,0.000001639,4.65MB/s,4881025.015253203
Keccak384,8,1.831µs,0.000001831,4.17MB/s,4369197.160021846
Keccak512,8,1.995µs,0.000001995,3.82MB/s,4010025.0626566415
Keccak256Full,8,3.714µs,0.000003714,2.05MB/s,2154011.8470651587
Sha3_224,8,1.612µs,0.000001612,4.73MB/s,4962779.156327544
Sha3_256,8,1.526µs,0.000001526,5.00MB/s,5242463.958060288
Sha3_384,8,1.792µs,0.000001792,4.26MB/s,4464285.714285715
Sha3_512,8,2.002µs,0.000002002,3.81MB/s,3996003.996003996
Sha224,8,1.567µs,0.000001567,4.87MB/s,5105296.7453733245
Sha256,8,1.132µs,0.000001132,6.74MB/s,7067137.809187279
Sha384,8,1.664µs,0.000001664,4.58MB/s,4807692.307692308
Sha512,8,1.711µs,0.000001711,4.46MB/s,4675628.2875511395
Sha512_224,8,1.29µs,0.00000129,5.91MB/s,6201550.3875969
Sha512_256,8,1.323µs,0.000001323,5.77MB/s,6046863.189720333
sm3,8,1.497µs,0.000001497,5.10MB/s,5344021.376085504
crc<u16>,8,475ns,0.000000475,16.06MB/s,16842105.263157893
crc<u32>,8,598ns,0.000000598,12.76MB/s,13377926.421404682
crc<u64>,8,1.563µs,0.000001563,4.88MB/s,5118362.124120281
crc16,8,372ns,0.000000372,20.51MB/s,21505376.34408602
crc32fast,8,474ns,0.000000474,16.10MB/s,16877637.13080169
crc64,8,201ns,0.000000201,37.96MB/s,39800995.02487562
sha256,8,1.485µs,0.000001485,5.14MB/s,5387205.387205387
twox_hash::XxHash32,8,137ns,0.000000137,55.69MB/s,58394160.58394161
twox_hash::XxHash64,8,154ns,0.000000154,49.54MB/s,51948051.948051944
twox_hash::XxHash3_64,8,203ns,0.000000203,37.58MB/s,39408866.99507389
twox_hash::XxHash3_128,8,229ns,0.000000229,33.32MB/s,34934497.816593885
seahash,8,158ns,0.000000158,48.29MB/s,50632911.39240506
xxhash::xxh32,8,185ns,0.000000185,41.24MB/s,43243243.24324324
xxhash::xxh64,8,468ns,0.000000468,16.30MB/s,17094017.094017096
xxhash::xxh3_64_with_seed,8,140ns,0.00000014,54.50MB/s,57142857.14285714
xxhash::xxh3_128_with_seed,8,140ns,0.00000014,54.50MB/s,57142857.14285714
xxhash::const_xxh32,8,200ns,0.0000002,38.15MB/s,40000000
xxhash::const_xxh64,8,187ns,0.000000187,40.80MB/s,42780748.663101606
xxhash::const_xxh3_64_with_seed,8,187ns,0.000000187,40.80MB/s,42780748.663101606
xxhash::const_xxh3_128_with_seed,8,197ns,0.000000197,38.73MB/s,40609137.055837564
murmur3_32,8,268ns,0.000000268,28.47MB/s,29850746.268656716
